"tropeid";"tropename";"tropefreq";"tropelink";"tropefreq2000"
"tr08725";"Horny Vikings";23;"HornyVikings";10
"tr08726";"Horrible Camping Trip";11;"HorribleCampingTrip";7
"tr08727";"Horrible Hollywood";33;"HorribleHollywood";12
"tr08728";"Horrible Judge of Character";83;"HorribleJudgeOfCharacter";38
"tr08729";"Horrifying Hero";4;"HorrifyingHero";1
"tr08730";"Horrifying the Horror";7;"HorrifyingTheHorror";4
"tr08731";"Horror";38;"Horror";21
"tr08732";"Horror Comedy";37;"HorrorComedy";20
"tr08733";"Horror Doesn't Settle for Simple Tuesday";64;"HorrorDoesntSettleForSimpleTuesday";24
"tr08734";"Horror Films";7;"HorrorFilms";3
"tr08735";"Horror Host";7;"HorrorHost";2
"tr08736";"Horror Hunger";18;"HorrorHunger";9
"tr08737";"Horror Struck";2;"HorrorStruck";2
"tr08738";"Horror Tropes";7;"HorrorTropes";7
"tr08739";"Horseback Heroism";12;"HorsebackHeroism";7
"tr08740";"Horse Jump";2;"HorseJump";1
"tr08741";"Horsemen of the Apocalypse";5;"HorsemenOfTheApocalypse";2
"tr08742";"Horse of a Different Color";19;"FantasticMount";13
"tr08743";"Horsing Around";15;"HorsingAround";3
"tr08744";"Hospital Gurney Scene";8;"HospitalGurneyScene";4
"tr08745";"Hospital Hottie";59;"HospitalHottie";24
"tr08746";"Hospitality for Heroes";3;"HospitalityForHeroes";2
"tr08747";"Hospital Surprise";4;"HospitalSurprise";3
"tr08748";"Hostage for MacGuffin";40;"HostageForMacguffin";25
"tr08749";"Hostage Handler Huddle";2;"HostageHandlerHuddle";2
"tr08750";"Hostage MacGuffin";7;"HostageMacGuffin";3
"tr08751";"Hostage Situation";41;"HostageSituation";16
"tr08752";"Hostage Video";2;"HostageVideo";2
"tr08753";"Hostile Animatronics";1;"HostileAnimatronics";0
"tr08754";"Hostile Hitchhiker";12;"HostileHitchhiker";2
"tr08755";"Hostile Show Takeover";2;"HostileShowTakeover";1
"tr08756";"Hostile Terraforming";9;"HostileTerraforming";5
"tr08757";"Hostile Weather";38;"HostileWeather";10
"tr08758";"Hostility on the Set";1;"HostilityOnTheSet";0
"tr08759";"Hot as Hell";7;"HotAsHell";3
"tr08760";"Hot Blade";2;"HotBlade";2
"tr08761";"Hot-Blooded";77;"Hotblooded";35
"tr08762";"Hot-Blooded Sideburns";5;"HotbloodedSideburns";2
"tr08763";"Hot Consort";9;"HotConsort";4
"tr08764";"Hotel Hellion";4;"HotelHellion";0
"tr08765";"Hot for Preacher";8;"HotForPreacher";3
"tr08766";"Hot God";4;"HotGod";2
"tr08767";"Hot Guy, Ugly Wife";9;"HotGuyUglyWife";3
"tr08768";"Hot Gypsy Woman";10;"HotGypsyWoman";1
"tr08769";"Hot Librarian";23;"HotLibrarian";10
"tr08770";"Hotline";5;"Hotline";1
"tr08771";"Hot Men at Work";1;"HotMenAtWork";1
"tr08772";"Hot on His Own Trail";3;"HotOnHisOwnTrail";1
"tr08773";"Hot Paint Job";5;"HotPaintJob";4
"tr08774";"Hot Potato";6;"HotPotato";5
"tr08775";"Hot Pursuit";11;"HotPursuit";5
"tr08776";"Hot Scientist";63;"HotScientist";29
"tr08777";"Hot Skitty-on-Wailord Action";5;"HotSkittyOnWailordAction";2
"tr08778";"Hot Springs Episode";1;"HotSpringsEpisode";0
"tr08779";"Hot Sub-on-Sub Action";10;"HotSubOnSubAction";3
"tr08780";"Hot Teacher";36;"HotTeacher";15
"tr08781";"Hotter and Sexier";63;"HotterandSexier";31
"tr08782";"Hot Wind";6;"HotWind";4
"tr08783";"Hot Wings";1;"HotWings";1
"tr08784";"Hot Witch";26;"HotWitch";10
"tr08785";"Hourglass Plot";19;"HourglassPlot";9
"tr08786";"Hour of Power";3;"HourOfPower";2
"tr08787";"House Amnesia";2;"HouseAmnesia";1
"tr08788";"Houseboat Hero";1;"HouseboatHero";0
"tr08789";"House Fey";1;"HouseFey";0
"tr08790";"House Fire";2;"HouseFire";1
"tr08791";"House Husband";9;"HouseHusband";8
"tr08792";"House Music";1;"HouseMusic";1
"tr08793";"House of Broken Mirrors";3;"HouseOfBrokenMirrors";2
"tr08794";"House Pseudonym";1;"HousePseudonym";1
"tr08795";"House Squatting";6;"HouseSquatting";0
"tr08796";"Housewife";35;"Housewife";11
"tr08797";"Hover Board";1;"HoverBoard";1
"tr08798";"Hover Skates";1;"HoverSkates";1
"tr08799";"Hover Tank";2;"HoverTank";2
"tr08800";"How About a Smile?";1;"HowAboutASmile";0
"tr08801";"How Can Santa Deliver All Those Toys?";7;"HowCanSantaDeliverAllThoseToys";5
"tr08802";"How Dare You Die on Me!";17;"HowDareYouDieOnMe";8
"tr08803";"How Did That Get in There?";2;"HowDidThatGetInThere";0
"tr08804";"How Did We Get Back Home?";1;"HowDidWeGetBackHome";0
"tr08805";"\"How Did You Know?\" \"I Didn't.\"";10;"HowDidYouKnowIDidnt";7
"tr08806";"How Do I Shot Web?";27;"HowDoIShootWeb";19
"tr08807";"How Do You Say";4;"HowDoYouSay";2
"tr08808";"How Is That Even Possible?";2;"HowIsThatEvenPossible";2
"tr08809";"Howling to the Night";3;"HowlingToTheNight";1
"tr08810";"Howl of Sorrow";14;"HowlOfSorrow";8
"tr08811";"How Many Fingers?";15;"HowManyFingers";6
"tr08812";"How Much Did You Hear?";3;"HowMuchDidYouHear";1
"tr08813";"How Much More Can He Take?";4;"HowMuchMoreCanHeTake";4
"tr08814";"How's Your British Accent?";4;"HowsYourBritishAccent";2
"tr08815";"How the Mighty Have Fallen";24;"HowTheMightyHaveFallen";8
"tr08816";"How Unscientific!";1;"HowUnscientific";0
"tr08817";"How We Got Here";222;"HowWeGotHere";137
"tr08818";"How Would You Like to Die?";2;"HowWouldYouLikeToDie";1
"tr08819";"Ho Yay";137;"HoYay";66
"tr08820";"Hub Level";3;"HubLevel";2
"tr08821";"Huddle Power";4;"HuddlePower";2
"tr08822";"Huddle Shot";12;"HuddleShot";8
"tr08823";"Hufflepuff House";19;"HufflepuffHouse";10
"tr08824";"Hug and Comment";1;"HugAndComment";1
"tr08825";"Huge Guy, Tiny Girl";63;"HugeGuyTinyGirl";32
"tr08826";"Huge Holographic Head";12;"HugeHolographicHead";6
"tr08827";"Huge Rider, Tiny Mount";4;"HugeRiderTinyMount";3
"tr08828";"Huge Schoolgirl";6;"HugeSchoolgirl";3
"tr08829";"Hugh Mann";4;"HughMann";1
"tr08830";"Hula and Luaus";5;"HulaAndLuaus";2
"tr08831";"Hulking Out";9;"HulkingOut";6
"tr08832";"Hulk Speak";23;"HulkSpeak";9
"tr08833";"Human Aliens";48;"HumanAliens";22
"tr08834";"Human All Along";1;"HumanAllAlong";1
"tr08835";"Human Cannonball";5;"HumanCannonball";3
"tr08836";"Human Chess";4;"HumanChess";0
"tr08837";"Human Disguise";2;"HumanDisguise";0
"tr08838";"Human Doorstop";2;"HumanDoorstop";1
"tr08839";"Human-Focused Adaptation";25;"HumanFocusedAdaptation";17
"tr08840";"Human Furniture Is a Pain in the Tail";1;"HumanFurnitureIsAPainInTheTail";0
"tr08841";"Human Hammer-Throw";2;"HumanHammerThrow";0
"tr08842";"Human Hard Drive";2;"HumanHardDrive";0
"tr08843";"Human Head on the Wall";2;"HumanHeadOnTheWall";0
"tr08844";"Human-Interest Story";3;"HumanInterestStory";1
"tr08845";"Humanity Came From Space";1;"HumanityCameFromSpace";1
"tr08846";"Humanity Ensues";17;"HumanityEnsues";9
"tr08847";"Humanity Is Infectious";12;"HumanityIsInfectious";6
"tr08848";"Humanity Is Insane";3;"HumanityIsInsane";2
"tr08849";"Humanity Is Superior";2;"HumanityIsSuperior";1
"tr08850";"Humanity on Trial";6;"HumanityOnTrial";4
"tr08851";"Humanity's Wake";2;"HumanitysWake";2
"tr08852";"Human Knot";3;"HumanKnot";1
"tr08853";"Human Ladder";12;"HumanLadder";5
"tr08854";"Humanlike Animal Aging";4;"HumanlikeAnimalAging";3
"tr08855";"Humanlike Foot Anatomy";3;"HumanlikeFootAnatomy";1
"tr08856";"Humanlike Hand Anatomy";8;"HumanlikeHandAnatomy";7
"tr08857";"Human Mail";11;"HumanMail";5
"tr08858";"Human Mom, Non-Human Dad";4;"HumanDadNonHumanMom";2
"tr08859";"Human Notepad";11;"HumanNotepad";8
"tr08860";"Humanoid Abomination";73;"HumanoidAbomination";42
"tr08861";"Humanoid Aliens";11;"HumanoidAliens";6
"tr08862";"Humanoid Female Animal";4;"HumanoidFemaleAnimal";2
"tr08863";"Human Outside, Alien Inside";2;"HumanOutsideAlienInside";0
"tr08864";"Human Pack Mule";1;"HumanPackMule";1
"tr08865";"Human Pet";3;"HumanPet";1
"tr08866";"Human Pincushion";7;"HumanPincushion";4
"tr08867";"Human Popsicle";47;"HumanPopsicle";21
"tr08868";"Human Resources";33;"HumanResources";19
"tr08869";"Human Sacrifice";51;"HumanSacrifice";18
"tr08870";"Humans Advance Swiftly";1;"HumansAdvanceSwiftly";0
"tr08871";"Humans Are Bastards";141;"HumansAreBastards";78
"tr08872";"Humans Are Cthulhu";24;"HumansAreCthulhu";13
"tr08873";"Humans Are Diplomats";2;"HumansAreDiplomats";0
"tr08874";"Humans Are Flawed";28;"HumansAreFlawed";22
"tr08875";"Humans Are Good";4;"HumansAreGood";2
"tr08876";"Humans Are Insects";3;"HumansAreInsects";2
"tr08877";"Humans Are Morons";23;"HumansAreMorons";13
"tr08878";"Humans Are Not the Dominant Species";1;"HumansAreNotTheDominantSpecies";1
"tr08879";"Humans Are Psychic in the Future";4;"HumansArePsychicInTheFuture";3
"tr08880";"Humans Are Smelly";1;"HumansAreSmelly";1
"tr08881";"Humans Are Special";31;"HumansAreSpecial";23
"tr08882";"Humans Are Survivors";1;"HumansAreSurvivors";1
"tr08883";"Humans Are the Real Monsters";84;"HumansAreTheRealMonsters";51
"tr08884";"Humans Are Ugly";8;"HumansAreUgly";3
"tr08885";"Humans Are Warriors";12;"HumansAreWarriors";11
"tr08886";"Humans Are White";9;"HumansAreWhite";5
"tr08887";"Humans by Any Other Name";3;"HumansByAnyOtherName";1
"tr08888";"Human Shield";75;"HumanShield";40
"tr08889";"Humanshifting";2;"Humanshifting";2
"tr08890";"Human Snowball";2;"HumanSnowball";0
"tr08891";"Humans Through Alien Eyes";2;"HumansThroughAlienEyes";1
"tr08892";"Human Subspecies";2;"HumanSubspecies";2
"tr08893";"Human-to-Werewolf Footprints";3;"HumanToWerewolfFootprints";0
"tr08894";"Human Traffic Jam";2;"HumanTrafficJam";0
"tr08895";"Human Traffickers";6;"HumanTraffickers";5
"tr08896";"Human Weapon";1;"HumanWeapon";1
"tr08897";"Humble Beginnings";1;"HumbleBeginnings";0
"tr08898";"Humble Goal";17;"HumbleGoal";11
"tr08899";"Humble Hero";13;"HumbleHero";9
"tr08900";"Humble Pie";9;"HumblePie";5
"tr08901";"Humiliating Wager";2;"HumiliatingWager";1
"tr08902";"Humiliation Conga";167;"HumiliationConga";73
"tr08903";"Hummer Dinger";7;"HummerDinger";5
"tr08904";"Humongous Mecha";49;"HumongousMecha";34
"tr08905";"Humor Dissonance";1;"HumorDissonance";1
"tr08906";"Hungry Jungle";9;"HungryJungle";5
"tr08907";"Hunk";14;"Hunk";7
"tr08908";"Hunter of His Own Kind";10;"HunterOfHisOwnKind";8
"tr08909";"Hunter of Monsters";2;"HunterOfMonsters";1
"tr08910";"Hunter Trapper";5;"HunterTrapper";3
"tr08911";"Hunting \"Accident\"";8;"HuntingAccident";3
"tr08912";"Hunting the Most Dangerous Game";24;"HuntingTheMostDangerousGame";9
"tr08913";"Hurl It into the Sun";3;"HurlItIntoTheSun";1
"tr08914";"Hurricane of Aphorisms";26;"HurricaneOfAphorisms";1
"tr08915";"Hurricane of Euphemisms";21;"HurricaneOfEuphemisms";3
"tr08916";"Hurricane of Excuses";5;"HurricaneOfExcuses";0
"tr08917";"Hurricane of Puns";68;"HurricaneOfPuns";29
"tr08918";"Hurting Hero";10;"HurtingHero";5
"tr08919";"Husky Russkie";18;"HuskyRusskie";11
"tr08920";"Hustler";11;"Hustler";3
"tr08921";"Hustling the Mark";7;"HustlingTheMark";2
"tr08922";"Hybrid Monster";13;"HybridMonster";9
"tr08923";"Hybrid Overkill Avoidance";4;"HybridOverkillAvoidance";4
"tr08924";"Hybrid Power";6;"HybridPower";6
"tr08925";"Hyde Plays Jekyll";4;"HydePlaysJekyll";2
"tr08926";"Hydrant Geyser";8;"HydrantGeyser";1
"tr08927";"Hydra Problem";9;"HydraProblem";7
"tr08928";"Hype Backlash";7;"HypeBacklash";6
"tr08929";"Hyper-Awareness";11;"HyperAwareness";6
"tr08930";"Hyper-Competent Sidekick";71;"HypercompetentSidekick";41
"tr08931";"Hyper-Destructive Bouncing Ball";2;"HyperDestructiveBouncingBall";0
"tr08932";"Hyperlink Story";27;"HyperlinkStory";11
"tr08933";"Hyperspace Arsenal";19;"HyperspaceArsenal";13
"tr08934";"Hyperspace Is a Scary Place";16;"HyperspaceIsAScaryPlace";8
"tr08935";"Hyperspace Mallet";4;"HyperspaceMallet";1
"tr08936";"Hyperspace Wardrobe";5;"HyperspaceWardrobe";0
"tr08937";"Hyperspeed Ambush";4;"HyperspeedAmbush";3
"tr08938";"Hyperspeed Escape";4;"HyperspeedEscape";2
"tr08939";"Hyperventilation Bag";6;"HyperventilationBag";6
"tr08940";"Hypno Fool";14;"HypnoFool";8
"tr08941";"Hypno Pendulum";3;"HypnoPendulum";1
"tr08942";"Hypno Ray";2;"HypnoRay";0
"tr08943";"Hypnotic Eyes";17;"HypnoticEyes";5
"tr08944";"Hypnotic Head";1;"HypnoticHead";0
"tr08945";"Hypnotize the Princess";13;"HypnotizeThePrincess";5
"tr08946";"Hypno Trinket";3;"HypnoTrinket";2
"tr08947";"Hypochondria";15;"Hypochondria";4
"tr08948";"Hypocrisy Nod";13;"HypocrisyNod";7
"tr08949";"Hypocrite";297;"Hypocrite";149
"tr08950";"Hypocrite Has a Point";1;"HypocriteHasAPoint";1
"tr08951";"Hypocritical Heartwarming";16;"HypocriticalHeartwarming";9
"tr08952";"Hypocritical Humor";472;"HypocriticalHumor";226
"tr08953";"Hypocritical Singing";3;"HypocriticalSinging";0
"tr08954";"Hypothetical Casting";2;"HypotheticalCasting";1
"tr08955";"Hypothetical Fight Debate";3;"HypotheticalFightDebate";1
"tr08956";"Hysterical Woman";32;"HystericalWoman";9
"tr08957";"Iaijutsu Practitioner";5;"IaijutsuPractitioner";3
"tr08958";"I Ain't Got Time to Bleed";6;"IAintGotTimeToBleed";4
"tr08959";"I Always Wanted to Say That";16;"IAlwaysWantedToSayThat";4
"tr08960";"I Am a Monster";14;"IAmAMonster";10
"tr08961";"\"I Am Becoming\" Song";12;"IAmBecomingSong";5
"tr08962";"I Am Big Boned";5;"IAmBigBoned";2
"tr08963";"\"I Am Great!\" Song";10;"IAmGreatSong";5
"tr08964";"I Am Legion";4;"IAmLegion";2
"tr08965";"I Am Not a Gun";4;"IAmNotAGun";2
"tr08966";"I Am Not Left-Handed";27;"IAmNotLefthanded";20
"tr08967";"I Am Not Leonard Nimoy";8;"IAmNotLeonardNimoy";2
"tr08968";"I Am Not My Father";16;"IAmNotMyFather";6
"tr08969";"I Am Not Pretty";15;"IAmNotPretty";6
"tr08970";"I Am Not Shazam";11;"IAmNotShazam";5
"tr08971";"I Am Not Spock";5;"IAmNotSpock";3
"tr08972";"I Am Not Weasel";8;"IAmNotWeasel";6
"tr08973";"I Am Not Your Father";6;"IAmNotYourFather";5
"tr08974";"I Am One of Those, Too";5;"IAmOneOfThoseToo";1
"tr08975";"\"I Am\" Song";63;"IAmSong";9
"tr08976";"I Am Spartacus";24;"IAmSpartacus";8
"tr08977";"I Am the Band";5;"IAmTheBand";2
"tr08978";"I Am the Noun";36;"IAmTheNoun";14
"tr08979";"I Am Very British";27;"IAmVeryBritish";12
"tr08980";"I Am What I Am";20;"IAmWhatIAm";8
"tr08981";"I Am Who?";1;"IAmWho";0
"tr08982";"I Am X, Son of Y";13;"IAmXSonOfY";8
"tr08983";"I Am Your Opponent";5;"IAmYourOpponent";1
"tr08984";"I Ate WHAT?!";75;"IAteWhat";30
"tr08985";"I Banged Your Mom";6;"IBangedYourMom";4
"tr08986";"I Believe I Can Fly";4;"IBelieveICanFly";2
"tr08987";"I Believe That You Believe It";1;"IBelieveThatYouBelieveIt";1
"tr08988";"I Broke a Nail";6;"IBrokeANail";1
"tr08989";"I Call Him \"Mr. Happy\"";22;"ICallHimMisterHappy";10
"tr08990";"I Call It \"Vera\"";52;"ICallHerVera";31
"tr08991";"I Can Change My Beloved";11;"ICanChangeMyBeloved";5
"tr08992";"I Can Explain";8;"ICanExplain";3
"tr08993";"I Can Live With That";2;"ICanLiveWithThat";0
"tr08994";"I Cannot Self-Terminate";40;"ICannotSelfTerminate";22
"tr08995";"I Can Rule Alone";3;"ICanRuleAlone";2
"tr08996";"I Can See My House from Here";6;"ICanSeeMyHouseFromHere";3
"tr08997";"I Can See You";8;"ICanSeeYou";3
"tr08998";"I Can Still Fight!";13;"ICanStillFight";9
"tr08999";"I Can't Believe a Guy Like You Would Notice Me";12;"ICantBelieveAGuyLikeYouWouldNoticeMe";4
"tr09000";"I Can't Believe I'm Saying This";1;"ICantBelieveImSayingThis";0
"tr09001";"I Can't Believe It's Not Heroin!";9;"ICantBelieveItsNotHeroin";3
"tr09002";"I Can't Dance";13;"ICantDance";8
"tr09003";"I Can't Feel My Legs";8;"ICantFeelMyLegs";4
"tr09004";"I Can't Hear You";5;"ICantHearYou";3
"tr09005";"\"I Can't Look!\" Gesture";11;"ICantLookGesture";4
"tr09006";"Icarus Allusion";5;"IcarusAllusion";3
"tr09007";"Ice Breaker";3;"IceBreaker";3
"tr09008";"Ice-Cream Koan";28;"IceCreamKoan";12
"tr09009";"Ice Palace";2;"IcePalace";1
"tr09010";"Ice Queen";45;"IceQueen";20
"tr09011";"I Choose to Stay";71;"IChoosetoStay";41
"tr09012";"I Come in Peace";9;"IComeInPeace";1
"tr09013";"Iconic Item";30;"IconicItem";13
"tr09014";"Iconic Logo";2;"IconicLogo";2
"tr09015";"Iconic Outfit";51;"IconicOutfit";20
"tr09016";"Iconic Sequel Character";16;"IconicSequelCharacter";3
"tr09017";"Iconic Sequel Song";3;"IconicSequelSong";3
"tr09018";"Iconic Song Request";1;"IconicSongRequest";0
"tr09019";"Icon of Rebellion";4;"IconOfRebellion";3
"tr09020";"I Control My Minions Through...";5;"IControlMyMinionsThrough";3
"tr09021";"I Coulda Been a Contender!";40;"CouldHaveBeenAContender";12
"tr09022";"Icy Blue Eyes";18;"IcyBlueEyes";11
"tr09023";"Idea Bulb";12;"IdeaBulb";8
"tr09024";"Ideal Hero";5;"IdealHero";3
"tr09025";"Ideal Illness Immunity";1;"IdealIllnessImmunity";1
"tr09026";"Idealized Sex";22;"IdealizedSex";15
"tr09027";"Identical Grandson";51;"IdenticalGrandson";20
"tr09028";"Identical-Looking Asians";14;"IdenticalLookingAsians";8
"tr09029";"Identical Stranger";48;"IdenticalStranger";16
"tr09030";"Identical Twin ID Tag";14;"IdenticalTwinIDTag";7
"tr09031";"Identical Twin Mistake";1;"IdenticalTwinMistake";1
"tr09032";"Identification by Dental Records";8;"IdentificationByDentalRecords";1
"tr09033";"Identity Absorption";1;"IdentityAbsorption";0
"tr09034";"Identity Amnesia";16;"IdentityAmnesia";7
"tr09035";"Identity Concealment Disposal";1;"IdentityConcealmentDisposal";1
"tr09036";"Identity Denial";3;"IdentityDenial";0
"tr09037";"Identity Impersonator";1;"IdentityImpersonator";0
"tr09038";"I Didn't Mean to Kill Him";4;"IDidntMeanToKillHim";2
"tr09039";"I Didn't Mean to Turn You On";9;"IDidntMeanToTurnYouOn";3
"tr09040";"I Did What I Had to Do";130;"IDidWhatIHadToDo";81
"tr09041";"I Die Free";8;"IDieFree";5
"tr09042";"Idiosyncratic Cover Art";1;"IdiosyncraticCoverArt";1
"tr09043";"Idiosyncratic Episode Naming";12;"IdiosyncraticEpisodeNaming";9
"tr09044";"Idiosyncratic Wipes";26;"IdiosyncraticWipes";11
"tr09045";"Idiosyncrazy";1;"Idiosyncrazy";1
"tr09046";"Idiot Ball";432;"IdiotBall";208
"tr09047";"Idiot Hair";3;"IdiotHair";3
"tr09048";"Idiot Hero";47;"IdiotHero";23
"tr09049";"Idiot Houdini";7;"IdiotHoudini";1
"tr09050";"Idiotic Partner Confession";5;"IdioticPartnerConfession";2
"tr09051";"Idiot Plot";12;"IdiotPlot";4
"tr09052";"Idiot Savant";13;"IdiotSavant";5
"tr09053";"Idle Animation";1;"IdleAnimation";1
"tr09054";"Idle Game";1;"IdleGame";0
"tr09055";"Idle Rich";65;"IdleRich";19
"tr09056";"Idol Singer";3;"IdolSinger";2
"tr09057";"I Do Not Drink Wine";10;"IDoNotDrinkWine";5
"tr09058";"I Do Not Like Green Eggs and Ham";4;"IDoNotLikeGreenEggsAndHam";2
"tr09059";"I Do Not Speak Nonverbal";1;"IDoNotSpeakNonverbal";1
"tr09060";"I Don't Like the Sound of That Place";38;"IDontLikeTheSoundOfThatPlace";18
"tr09061";"I Don't Like You and You Don't Like Me";6;"IDontLikeYouAndYouDontLikeMe";4
"tr09062";"I Don't Pay You to Think";10;"IDontPayYouToThink";4
"tr09063";"I Don't Want to Ruin Our Friendship";7;"IDontWantToRuinOurFriendship";1
"tr09064";"I'd Tell You, but Then I'd Have to Kill You";2;"IdTellYouButThenIdHaveToKillYou";0
"tr09065";"I Feel Guilty; You Take It";2;"IFeelGuiltyYouTakeIt";0
"tr09066";"I Fell for Hours";13;"IFellForHours";7
"tr09067";"If I Can Only Move";1;"IfICanOnlyMove";1
"tr09068";"If I Can't Have You...";63;"IfICantHaveYou";23
"tr09069";"If I Do Not Return";22;"IfIDoNotReturn";9
"tr09070";"I Fight for the Strongest Side";6;"IFightForTheStrongestSide";5
"tr09071";"If I Had a Nickel";5;"IfIHadANickel";1
"tr09072";"If It Bleeds, It Leads";18;"IfItBleedsItLeads";10
"tr09073";"If It Swims, It Flies";5;"IfItSwimsItFlies";3
"tr09074";"If It's You, It's Okay";13;"IfItsYouItsOkay";4
"tr09075";"If It Tastes Bad, It Must Be Good for You";2;"IfItTastesBadItMustBeGoodForYou";0
"tr09076";"If It Was Funny the First Time...";1;"IfItWasFunnyTheFirstTime";0
"tr09077";"If I Wanted X, I Would Y";2;"IfIWantedXIWouldY";0
"tr09078";"If I Wanted You Dead...";27;"IfIWantedYouDead";15
"tr09079";"If I Were a Rich Man";5;"IfIWereARichMan";0
"tr09080";"If Jesus, Then Aliens";9;"IfJesusThenAliens";5
"tr09081";"If My Calculations Are Correct";7;"IfMyCalculationsAreCorrect";2
"tr09082";"If Only You Knew";7;"IfOnlyYouKnew";3
"tr09083";"I Found You Like This";1;"IFoundYouLikeThis";0
"tr09084";"If We Get Through This...";8;"IfWeGetThroughThis";3
"tr09085";"If We Survive This";2;"IfWeSurviveThis";0
"tr09086";"If You Can Read This";7;"IfYouCanReadThis";4
"tr09087";"If You Die, I Call Your Stuff";14;"IfYouDieICallYourStuff";4
"tr09088";"If You Ever Do Anything to Hurt Her...";25;"IfYouEverDoAnythingToHurtHer";15
"tr09089";"If You Kill Him, You Will Be Just Like Him";41;"IfYouKillHimYouWillBeJustLikeHim";22
"tr09090";"If You're So Evil, Eat This Kitten";27;"IfYoureSoEvilEatThisKitten";16
"tr09091";"If You Taunt Him, You Will Be Just Like Him";3;"IfYouTauntHimYouWillBeJustLikeHim";2
"tr09092";"If You Thought That Was Bad...";1;"IfYouThoughtThatWasBad";1
"tr09093";"If You Won't, I Will";1;"IfYouWontIWill";1
"tr09094";"I Gave My Word";68;"IGaveMyWord";30
"tr09095";"Ignorance Is Bliss";4;"IgnoranceIsBliss";1
"tr09096";"Ignorant Minion";1;"IgnorantMinion";0
"tr09097";"Ignorant of the Call";5;"IgnorantOfTheCall";2
"tr09098";"Ignorant of Their Own Ignorance";3;"IgnorantOfTheirOwnIgnorance";1
"tr09099";"Ignored Aesop";5;"IgnoredAesop";2
"tr09100";"Ignored Confession";17;"IgnoredConfession";5
"tr09101";"Ignored Enamored Underling";9;"IgnoredEnamoredUnderling";6
"tr09102";"Ignored Enemy";3;"IgnoredEnemy";1
"tr09103";"Ignored Epiphany";53;"IgnoredEpiphany";19
"tr09104";"Ignored Expert";48;"IgnoredExpert";18
"tr09105";"Ignored Vital News Reports";12;"IgnoredVitalNewsReports";7
"tr09106";"Ignore the Disability";8;"IgnoreTheDisability";3
"tr09107";"Ignore the Fanservice";27;"IgnoreTheFanservice";9
"tr09108";"Ignoring by Singing";9;"IgnoringBySinging";3
"tr09109";"I Got a Rock";3;"IGotARock";2
"tr09110";"I Got Bigger";1;"IGotBigger";1
"tr09111";"I Got You a Drawer";1;"IGotYouADrawer";1
"tr09112";"I Got You Covered";5;"IGotYouCovered";3
"tr09113";"I Hate Past Me";18;"IHatePastMe";11
"tr09114";"I Hate You, Vampire Dad";10;"IHateYouVampireDad";9
"tr09115";"I Have a Family";37;"IHaveAFamily";23
"tr09116";"I Have Boobs, You Must Obey!";18;"IHaveBoobsYouMustObey";10
"tr09117";"I Have Brothers";5;"IHaveBrothers";2
"tr09118";"I Have Just One Thing to Say";9;"IHaveJustOneThingToSay";2
"tr09119";"I Have Many Names";48;"IHaveManyNames";24
"tr09120";"I Have My Ways";3;"IHaveMyWays";1
"tr09121";"I Have No Idea What I'm Doing";1;"IHaveNoIdeaWhatImDoing";1
"tr09122";"I Have No Son!";68;"IHaveNoSon";37
"tr09123";"I Have Nothing to Say to That";1;"IHaveNothingToSayToThat";0
"tr09124";"I Have the High Ground";8;"IHaveTheHighGround";5
"tr09125";"I Have This Friend...";31;"IHaveThisFriend";10
"tr09126";"I Have to Wash My Hair";4;"IHaveToWashMyHair";1
"tr09127";"I Have You Now, My Pretty";64;"IHaveYouNowMyPretty";24
"tr09128";"I Have Your Wife";120;"IHaveYourWife";57
"tr09129";"I Heard That";1;"IHeardThat";0
"tr09130";"I Hit You, You Hit the Ground";5;"IHitYouYouHitTheGround";3
"tr09131";"I Just Knew";3;"IJustKnew";1
"tr09132";"I Just Like Saying the Word";1;"IJustLikeSayingTheWord";0
"tr09133";"I Just Shot Marvin in the Face";77;"IJustShotMarvinInTheFace";37
"tr09134";"I Just Want to Be Badass";15;"IJustWantToBeBadass";10
"tr09135";"I Just Want to Be Beautiful";6;"IJustWantToBeBeautiful";2
"tr09136";"I Just Want to Be Free";20;"IJustWantToBeFree";10
"tr09137";"I Just Want to Be Loved";19;"IJustWantToBeLoved";10
"tr09138";"I Just Want to Be Normal";81;"IJustWanttoBeNormal";46
"tr09139";"I Just Want to Be Special";60;"IJustWantToBeSpecial";41
"tr09140";"I Just Want to Be You";13;"IJustWantToBeYou";8
"tr09141";"I Just Want to Have Friends";28;"IJustWantToHaveFriends";17
"tr09142";"I Just Write the Thing";2;"IJustWriteTheThing";2
"tr09143";"IKEA Erotica";6;"IKEAErotica";4
"tr09144";"IKEA Weaponry";38;"IKEAWeaponry";6
"tr09145";"I Kiss Your Foot";3;"IKissYourFoot";1
"tr09146";"I Kiss Your Hand";31;"IKissYourHand";9
"tr09147";"I Knew It!";10;"IKnewIt";0
"tr09148";"I Knew There Was Something About You";4;"IKnewThereWasSomethingAboutYou";1
"tr09149";"I Know Karate";28;"IKnowKarate";14
"tr09150";"I Know Kung-Faux";4;"IKnowKungFaux";2
"tr09151";"I Know Madden Kombat";8;"IKnowMaddenKombat";3
"tr09152";"I Know Mortal Kombat";33;"IKnowMortalKombat";23
"tr09153";"\"I Know What We Can Do\" Cut";16;"IKnowWhatWeCanDoCut";9
"tr09154";"I Know What You Fear";2;"IKnowWhatYouFear";2
